Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Dare Inc,Germany,52.520008,13.404954,Energy & Utilities,Micro (1-10),Laura Thompson,1/2/2024,Services,New,1,,,973,1/29/1900,4/22/2024,
Roob-DuBuque,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,5/31/2024,SAAS,New,1,,,1097,2/28/1900,5/17/2025,
"Smitham, Stamm and Howe",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),David Wilson,5/6/2024,SAAS,New,1,,,1020,1/19/1900,4/14/2025,
Ward-Cruickshank,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Sarah Davis,3/23/2024,Custom solution,New,1,,,1067,1/19/1900,8/3/2024,
Strosin-Runte,Switzerland,46.204391,6.143158,Energy & Utilities,Micro (1-10),Jessica Martinez,2/1/2024,Services,New,1,,,1063,2/18/1900,8/8/2024,
Zulauf-Schmidt,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Micro (1-10),Kevin Anderson,3/10/2024,SAAS,New,1,,,738,1/19/1900,10/11/2024,
Leffler-Hirthe,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,5/12/2024,SAAS,New,1,,,425,2/28/1900,6/21/2024,
McLaughlin LLC,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Sarah Davis,1/9/2024,SAAS,New,1,,,854,2/8/1900,6/3/2024,
Sanford-Doyle,Italy,41.902782,12.496366,Retail & Distribution,Micro (1-10),Jessica Martinez,2/15/2024,Services,New,1,,,627,1/19/1900,9/16/2024,
Deckow and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Emily Johnson,4/29/2024,Custom solution,New,1,,,365,4/9/1900,8/3/2024,
Price Inc,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Kevin Anderson,4/21/2024,Services,New,1,,,852,3/10/1900,2/20/2025,
"Hammes, Romaguera and Emmerich",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,4/20/2024,Services,New,1,,,1139,3/20/1900,6/30/2024,
"Schinner, Mraz and Friesen",France,48.864716,2.349014,Banking and Finance,Micro (1-10),Michael Brown,3/14/2024,Services,New,1,,,286,2/8/1900,12/16/2024,
"Morissette, Heathcote and Bayer",France,48.864716,2.349014,IT & IT Services,Micro (1-10),Laura Thompson,2/26/2024,Services,New,1,,,563,1/29/1900,5/5/2024,
Kirlin LLC,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),David Wilson,3/24/2024,Services,New,1,,,1130,1/29/1900,2/23/2025,
Fritsch-Anderson,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),David Wilson,4/1/2024,Custom solution,New,1,,,850,1/29/1900,5/16/2024,
"Hegmann, Vandervort and Grimes",Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Michael Brown,2/25/2024,SAAS,New,1,,,866,1/19/1900,2/17/2025,
Nicolas LLC,France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),John Smith,2/20/2024,Services,New,1,,,940,2/18/1900,11/29/2024,
Green-Wuckert,Portugal,38.736946,-9.142685,Banking and Finance,Micro (1-10),John Smith,1/23/2024,Custom solution,New,1,,,1024,1/29/1900,3/30/2024,
"Walsh, Walter and Kuhic",Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Emily Johnson,4/15/2024,SAAS,New,1,,,1068,1/19/1900,12/25/2024,
Hauck Inc,Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),John Smith,2/6/2024,Services,New,1,,,902,1/19/1900,9/14/2024,
Keeling-Gerhold,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Emily Johnson,4/17/2024,Custom solution,New,1,,,922,2/18/1900,10/10/2024,
Bailey and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),David Wilson,2/8/2024,SAAS,New,1,,,780,2/18/1900,10/11/2024,
Thompson-Schuster,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Jessica Martinez,2/20/2024,Services,New,1,,,387,1/29/1900,2/3/2025,
"Bechtelar, Bechtelar and Kub",Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),John Smith,3/6/2024,Services,New,1,,,905,2/18/1900,1/15/2025,
Krajcik and Sons,Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Michael Brown,1/29/2024,SAAS,New,1,,,678,1/19/1900,6/7/2024,
"Macejkovic, Goodwin and Towne",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),Jessica Martinez,4/17/2024,SAAS,New,1,,,883,3/10/1900,12/10/2024,
O'Reilly LLC,Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Michael Brown,5/25/2024,SAAS,New,1,,,1175,3/30/1900,1/16/2025,
Kiehn Group,France,48.864716,2.349014,Retail & Distribution,Micro (1-10),Laura Thompson,5/6/2024,SAAS,New,1,,,493,1/19/1900,6/8/2024,
Williamson-O'Conner,Spain,40.416775,-3.703790,Transportation & Logistics,Micro (1-10),Jessica Martinez,5/16/2024,SAAS,New,1,,,995,1/29/1900,6/10/2024,
Runolfsdottir-Huels,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),John Smith,5/23/2024,Services,New,1,,,236,4/9/1900,2/6/2025,
Walter Group,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),John Smith,4/17/2024,Services,New,1,,,762,1/19/1900,9/29/2024,
Oberbrunner LLC,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,3/13/2024,Services,New,1,,,463,2/8/1900,2/19/2025,
"Howell, Kozey and Pfannerstill",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Michael Brown,4/7/2024,Custom solution,New,1,,,421,2/8/1900,3/11/2025,
Jacobson LLC,Netherlands,52.370216,4.895168,Banking and Finance,Micro (1-10),Michael Brown,1/29/2024,SAAS,New,1,,,1089,1/29/1900,12/2/2024,
Grant Inc,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Laura Thompson,5/3/2024,SAAS,New,1,,,655,3/20/1900,9/17/2024,
"Davis, Yundt and Cartwright",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,2/22/2024,Services,New,1,,,453,1/9/1900,5/27/2024,
"Schuster, Altenwerth and Hettinger",Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),Jessica Martinez,4/14/2024,SAAS,New,1,,,777,2/8/1900,8/5/2024,
Wuckert-Mayert,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Laura Thompson,2/10/2024,Services,New,1,,,719,3/20/1900,7/8/2024,
"Heller, Cassin and Douglas",Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),Emily Johnson,5/6/2024,Services,New,1,,,657,1/19/1900,1/31/2025,
"Schroeder, Jacobson and Gottlieb",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Laura Thompson,1/9/2024,Services,New,1,,,226,1/19/1900,7/26/2024,
Klocko-Effertz,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,1/26/2024,Services,New,1,,,439,1/29/1900,7/6/2024,
"Rohan, Lueilwitz and Barrows",Switzerland,46.204391,6.143158,Agriculture & Mining,Micro (1-10),Emily Johnson,2/22/2024,Custom solution,New,1,,,311,1/19/1900,7/28/2024,
Kunde Inc,Austria,48.210033,16.363449,IT & IT Services,Micro (1-10),Jessica Martinez,2/10/2024,SAAS,New,1,,,1160,2/28/1900,9/16/2024,
"DuBuque, Smith and Price",Spain,40.416775,-3.703790,Recreation & Sports,Micro (1-10),Michael Brown,5/1/2024,SAAS,New,1,,,696,1/9/1900,7/20/2024,
Jerde LLC,Spain,40.416775,-3.703790,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,4/20/2024,Custom solution,New,1,,,696,2/18/1900,6/11/2024,
O'Reilly-Kling,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Emily Johnson,4/4/2024,Custom solution,New,1,,,633,2/18/1900,8/20/2024,
"Gutkowski, Cassin and Conn",Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Laura Thompson,5/30/2024,Services,New,1,,,683,1/19/1900,10/2/2024,
Gusikowski-Murray,Belgium,51.260197,4.402771,Retail & Distribution,Micro (1-10),Laura Thompson,4/14/2024,SAAS,New,1,,,433,3/10/1900,12/21/2024,
Haag-Murazik,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Michael Brown,2/12/2024,SAAS,New,1,,,456,4/9/1900,10/19/2024,
Doyle-Shields,Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Sarah Davis,5/11/2024,SAAS,New,1,,,211,1/29/1900,9/11/2024,
"Windler, Gutmann and Von",France,48.864716,2.349014,Education & Science,Micro (1-10),David Wilson,4/14/2024,Services,New,1,,,345,2/8/1900,1/22/2025,
"Larkin, Nikolaus and Zboncak",Spain,40.416775,-3.703790,Retail & Distribution,Micro (1-10),Jessica Martinez,3/12/2024,SAAS,New,1,,,496,3/10/1900,6/23/2024,
O'Keefe-Simonis,Portugal,38.736946,-9.142685,Banking and Finance,Micro (1-10),Laura Thompson,5/14/2024,SAAS,New,1,,,897,2/18/1900,8/11/2024,
Torphy LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),David Wilson,4/28/2024,Custom solution,New,1,,,244,4/9/1900,4/20/2025,
"Wolff, Stehr and Gutmann",Netherlands,52.370216,4.895168,Manufacturing & Production,Micro (1-10),John Smith,4/29/2024,SAAS,New,1,,,1181,1/19/1900,6/13/2024,
"Murphy, Pfeffer and Hodkiewicz",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Sarah Davis,2/12/2024,Services,New,1,,,447,3/30/1900,8/15/2024,
Moore-Bailey,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Micro (1-10),Laura Thompson,5/8/2024,Services,New,1,,,679,3/20/1900,1/19/2025,
"Dach, Gottlieb and Denesik",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,4/15/2024,Custom solution,New,1,,,705,2/18/1900,7/7/2024,
"Sipes, Weimann and Veum",Netherlands,52.370216,4.895168,Retail & Distribution,Micro (1-10),Michael Brown,5/23/2024,Services,New,1,,,1155,3/10/1900,8/9/2024,
Dooley Inc,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,2/22/2024,SAAS,New,1,,,856,1/19/1900,10/8/2024,
Beier Inc,Portugal,38.736946,-9.142685,Energy & Utilities,Micro (1-10),Emily Johnson,2/15/2024,SAAS,New,1,,,1100,2/8/1900,1/7/2025,
"Schumm, Leuschke and Pfeffer",Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),David Wilson,1/26/2024,Services,New,1,,,277,1/29/1900,11/24/2024,
"Huels, Rippin and MacGyver",Portugal,38.736946,-9.142685,Construction & Engineering,Micro (1-10),Michael Brown,4/7/2024,Services,New,1,,,597,3/30/1900,6/27/2024,
Konopelski-Fritsch,Austria,48.210033,16.363449,Agriculture & Mining,Micro (1-10),Jessica Martinez,5/22/2024,Services,New,1,,,618,3/30/1900,7/14/2024,
"Fisher, Ebert and Rodriguez",Belgium,51.260197,4.402771,Telecommunications,Micro (1-10),Laura Thompson,5/9/2024,SAAS,New,1,,,960,1/19/1900,4/23/2025,
Schoen and Sons,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Jessica Martinez,2/2/2024,SAAS,New,1,,,944,1/29/1900,1/11/2025,
Osinski-Jones,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),Laura Thompson,3/2/2024,SAAS,New,1,,,343,4/9/1900,5/13/2024,
"Pfannerstill, Bernhard and Schuster",Switzerland,46.204391,6.143158,Telecommunications,Micro (1-10),Jessica Martinez,1/6/2024,SAAS,New,1,,,272,4/9/1900,12/4/2024,
Kozey and Sons,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,2/7/2024,SAAS,New,1,,,946,1/29/1900,12/4/2024,
"Stiedemann, Cruickshank and Wintheiser",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),Michael Brown,3/9/2024,Services,New,1,,,720,2/8/1900,10/5/2024,
"Smitham, Fadel and Wisoky",Belgium,51.260197,4.402771,Professional Services  & Consulting,Micro (1-10),Michael Brown,2/7/2024,Services,New,1,,,1196,2/18/1900,4/30/2024,
Schuppe-Hauck,Portugal,38.736946,-9.142685,Agriculture & Mining,Micro (1-10),Jessica Martinez,3/29/2024,Custom solution,New,1,,,429,1/19/1900,2/8/2025,
Leenti,Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Michael Brown,2/17/2024,SAAS,New,1,,,2023,2/8/1900,9/24/2024,
Centidel,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Michael Brown,4/6/2024,Services,New,1,,,7694,2/28/1900,8/8/2024,
Yabox,Netherlands,52.370216,4.895168,Agriculture & Mining,Medium (201-500),Emily Johnson,4/12/2024,Services,New,1,,,3165,1/19/1900,6/7/2024,
Brainsphere,Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Medium (201-500),John Smith,2/12/2024,SAAS,New,1,,,7131,2/8/1900,11/12/2024,
Voolia,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,3/24/2024,Services,New,1,,,648,2/28/1900,6/24/2024,
Yodoo,Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Michael Brown,2/18/2024,Services,New,1,,,3927,2/28/1900,4/14/2024,
Lazz,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Michael Brown,3/23/2024,SAAS,New,1,,,4421,1/29/1900,12/30/2024,
Centizu,Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Michael Brown,5/15/2024,Services,New,1,,,290,1/19/1900,1/23/2025,
Skinix,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/11/2024,SAAS,New,1,,,2699,3/20/1900,4/19/2024,
Photobug,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),David Wilson,1/6/2024,SAAS,New,1,,,3195,4/9/1900,2/17/2024,
Zoombeat,Spain,40.416775,-3.703790,Retail & Distribution,Medium (201-500),Michael Brown,3/5/2024,Services,New,1,,,1765,2/18/1900,4/14/2024,
Buzzbean,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Kevin Anderson,4/8/2024,SAAS,New,1,,,7602,1/29/1900,2/9/2025,
Trupe,Italy,41.902782,12.496366,Education & Science,Medium (201-500),David Wilson,2/25/2024,SAAS,New,1,,,3872,1/19/1900,6/24/2024,
Shuffletag,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,5/31/2024,Services,New,1,,,6817,1/19/1900,8/27/2024,
Skibox,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/19/2024,SAAS,New,1,,,686,2/28/1900,2/7/2025,
Riffwire,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),Michael Brown,5/7/2024,Services,New,1,,,7489,2/8/1900,7/28/2024,
Tagpad,France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Laura Thompson,2/1/2024,Services,New,1,,,361,1/19/1900,8/2/2024,
Browsezoom,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),David Wilson,1/29/2024,SAAS,New,1,,,6737,3/20/1900,7/23/2024,
Shufflebeat,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Laura Thompson,1/8/2024,Custom solution,New,1,,,3058,1/9/1900,3/25/2024,
Skinte,Austria,48.210033,16.363449,Recreation & Sports,Medium (201-500),Emily Johnson,4/22/2024,SAAS,New,1,,,6586,2/8/1900,2/3/2025,
Innotype,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Laura Thompson,5/18/2024,Services,New,1,,,3108,2/8/1900,4/24/2025,
Twitterwire,Austria,48.210033,16.363449,Energy & Utilities,Medium (201-500),Jessica Martinez,5/19/2024,SAAS,New,1,,,2864,1/19/1900,11/5/2024,
Block and Sons,Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Kevin Anderson,4/7/2024,Services,New,1,,,2513,1/19/1900,11/8/2024,
Ernser-Rolfson,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,1/10/2024,SAAS,New,1,,,2504,1/29/1900,7/1/2024,
Leannon Inc,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Sarah Davis,1/15/2024,Services,New,1,,,3666,2/8/1900,12/29/2024,
Bins LLC,France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Laura Thompson,5/9/2024,Services,New,1,,,5438,2/28/1900,11/11/2024,
Farrell Group,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Laura Thompson,5/22/2024,Services,New,1,,,1631,1/19/1900,12/9/2024,
Jacobs-Rice,France,48.864716,2.349014,Education & Science,Medium (201-500),David Wilson,1/24/2024,SAAS,New,1,,,926,1/19/1900,4/18/2024,
Rosenbaum Inc,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,1/13/2024,SAAS,New,1,,,4198,3/30/1900,2/19/2024,
Schoen-Kovacek,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,5/3/2024,Custom solution,New,1,,,6604,2/18/1900,3/14/2025,
"Fritsch, Kemmer and Littel",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/6/2024,SAAS,New,1,,,959,2/18/1900,3/1/2025,
"Crona, Morissette and Pouros",Netherlands,52.370216,4.895168,Energy & Utilities,Medium (201-500),Emily Johnson,1/12/2024,SAAS,New,1,,,2332,1/19/1900,3/16/2024,
"Bayer, Altenwerth and Kozey",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,1/20/2024,Services,New,1,,,5288,2/8/1900,7/3/2024,
Langworth Inc,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Laura Thompson,3/8/2024,Custom solution,New,1,,,2839,1/29/1900,1/23/2025,
"Schroeder, Stiedemann and Frami",Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Michael Brown,4/13/2024,SAAS,New,1,,,3677,3/10/1900,5/25/2024,
Predovic Group,Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,2/16/2024,Custom solution,New,1,,,6388,3/30/1900,6/27/2024,
"Lockman, Rath and Lynch",Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Sarah Davis,1/27/2024,Services,New,1,,,4941,2/8/1900,4/3/2024,
Waters-Swift,Portugal,38.736946,-9.142685,Agriculture & Mining,Medium (201-500),Jessica Martinez,3/14/2024,Services,New,1,,,1652,2/8/1900,2/26/2025,
"Wisoky, Collins and Kling",Netherlands,52.370216,4.895168,Government Administration Healthcare,Medium (201-500),Michael Brown,4/16/2024,Services,New,1,,,1813,2/18/1900,9/11/2024,
Koch and Sons,France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Jessica Martinez,3/27/2024,Services,New,1,,,4568,1/19/1900,8/24/2024,
Swaniawski-Schneider,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Michael Brown,2/20/2024,Custom solution,New,1,,,761,2/8/1900,2/1/2025,
"Jaskolski, Auer and Morissette",Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Laura Thompson,5/5/2024,Custom solution,New,1,,,6194,2/18/1900,3/11/2025,
Sauer Inc,Austria,48.210033,16.363449,Energy & Utilities,Medium (201-500),Kevin Anderson,2/17/2024,SAAS,New,1,,,1538,1/29/1900,5/31/2024,
Osinski-Schultz,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,3/26/2024,Services,New,1,,,5141,3/20/1900,7/6/2024,
Pouros-Gottlieb,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,4/21/2024,Services,New,1,,,4067,2/18/1900,11/4/2024,
Lueilwitz and Sons,Austria,48.210033,16.363449,Professional Services  & Consulting,Medium (201-500),Sarah Davis,5/28/2024,Services,New,1,,,2214,2/28/1900,9/20/2024,
Kirlin Inc,France,48.864716,2.349014,Construction & Engineering,Medium (201-500),Laura Thompson,4/3/2024,SAAS,New,1,,,7441,1/19/1900,9/22/2024,
Stokes-Gulgowski,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Kevin Anderson,2/3/2024,Custom solution,New,1,,,2263,1/19/1900,6/4/2024,
Heller-Streich,Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),David Wilson,1/14/2024,SAAS,New,1,,,4085,2/18/1900,5/29/2024,
"Pollich, Cole and Morar",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Kevin Anderson,4/19/2024,SAAS,New,1,,,6749,1/19/1900,8/14/2024,
"Cummings, Mosciski and Bayer",Austria,48.210033,16.363449,Professional Services  & Consulting,Medium (201-500),Michael Brown,1/16/2024,SAAS,New,1,,,422,2/8/1900,3/21/2024,
Fay LLC,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Jessica Martinez,5/30/2024,Custom solution,New,1,,,3211,1/29/1900,2/25/2025,
Kassulke Inc,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,1/13/2024,SAAS,New,1,,,1894,1/19/1900,5/7/2024,
Osinski Group,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Emily Johnson,3/25/2024,Services,New,1,,,6133,1/29/1900,7/5/2024,
"Blanda, Schuster and Schulist",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Emily Johnson,2/1/2024,Services,New,1,,,3536,2/18/1900,4/5/2024,
Reinger-Rutherford,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Sarah Davis,5/31/2024,Custom solution,New,1,,,6276,1/19/1900,2/12/2025,
Hintz-Franecki,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Laura Thompson,5/11/2024,Services,New,1,,,5423,2/18/1900,12/23/2024,
"Emmerich, Hammes and Jacobs",Germany,52.520008,13.404954,Manufacturing & Production,Medium (201-500),Jessica Martinez,4/20/2024,Services,New,1,,,1217,1/19/1900,2/24/2025,
Blick Group,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Michael Brown,1/31/2024,Services,New,1,,,4737,3/20/1900,5/22/2024,
"Rutherford, Christiansen and Marquardt",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),John Smith,4/29/2024,SAAS,New,1,,,5200,1/19/1900,4/24/2025,
Littel-Ritchie,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Kevin Anderson,1/10/2024,Custom solution,New,1,,,6127,2/28/1900,7/2/2024,
"Carroll, Boehm and Zemlak",Switzerland,46.204391,6.143158,Recreation & Sports,Medium (201-500),Laura Thompson,1/3/2024,Custom solution,New,1,,,1449,1/9/1900,7/23/2024,
Lockman and Sons,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),David Wilson,3/20/2024,Services,New,1,,,4897,2/8/1900,12/18/2024,
"Dickinson, Hessel and Luettgen",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,3/15/2024,SAAS,New,1,,,2131,1/19/1900,5/24/2024,
Macejkovic Inc,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Laura Thompson,2/20/2024,SAAS,New,1,,,3412,2/18/1900,1/8/2025,
Botsford-Reichel,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Emily Johnson,1/4/2024,Custom solution,New,1,,,6066,2/8/1900,5/18/2024,
"Schumm, Quigley and Goldner",Austria,48.210033,16.363449,Energy & Utilities,Medium (201-500),Jessica Martinez,2/12/2024,Services,New,1,,,7000,2/8/1900,4/14/2024,
Hahn Group,Belgium,51.260197,4.402771,Manufacturing & Production,Medium (201-500),Laura Thompson,2/12/2024,Custom solution,New,1,,,5247,2/18/1900,1/28/2025,
Crooks and Sons,France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Laura Thompson,4/10/2024,Services,New,1,,,6449,1/9/1900,2/12/2025,
Wehner and Sons,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Kevin Anderson,5/29/2024,SAAS,New,1,,,774,3/10/1900,5/8/2025,
"Botsford, Ebert and Keebler",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Jessica Martinez,3/31/2024,Services,New,1,,,3600,3/10/1900,5/20/2024,
Runte and Sons,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),David Wilson,3/11/2024,Services,New,1,,,478,1/19/1900,2/2/2025,
Dach Group,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,5/19/2024,Services,New,1,,,6164,2/8/1900,2/6/2025,
Ernser-Ebert,Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Sarah Davis,4/2/2024,SAAS,New,1,,,1794,2/18/1900,5/29/2024,
Koss Group,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Sarah Davis,1/2/2024,Custom solution,New,1,,,6881,1/19/1900,8/9/2024,
"Von, Torp and Deckow",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Michael Brown,4/22/2024,Custom solution,New,1,,,1580,1/9/1900,4/12/2025,
"Morar, Runolfsdottir and Kris",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,3/9/2024,SAAS,New,1,,,4840,1/9/1900,10/22/2024,
"Fahey, Paucek and Barrows",Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Laura Thompson,1/31/2024,Services,New,1,,,5943,1/29/1900,7/10/2024,
Stanton-Quitzon,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Laura Thompson,1/31/2024,SAAS,New,1,,,4116,3/30/1900,11/6/2024,
"Fay, Stroman and O'Keefe",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,5/6/2024,SAAS,New,1,,,4588,1/29/1900,3/6/2025,
"Morar, Nolan and Hoeger",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,1/30/2024,SAAS,New,1,,,7420,3/20/1900,9/17/2024,
Herzog Group,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Michael Brown,3/6/2024,SAAS,New,1,,,1956,2/8/1900,8/10/2024,
Kreiger and Sons,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Sarah Davis,5/16/2024,SAAS,New,1,,,3137,1/29/1900,6/5/2024,
Walsh-Weber,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Laura Thompson,3/31/2024,Services,New,1,,,3915,1/19/1900,5/3/2024,
Heaney-Schneider,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Sarah Davis,5/22/2024,SAAS,New,1,,,764,3/30/1900,11/23/2024,
Bernhard-McCullough,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Laura Thompson,4/20/2024,Services,New,1,,,3298,1/19/1900,11/9/2024,
Weissnat-D'Amore,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),John Smith,5/28/2024,Services,New,1,,,5766,1/19/1900,7/23/2024,
"Bruen, Daugherty and Strosin",Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Michael Brown,5/3/2024,Services,New,1,,,1937,1/29/1900,6/26/2024,
"Bailey, Heaney and Champlin",Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Emily Johnson,2/11/2024,Services,New,1,,,6782,2/28/1900,4/1/2024,
